event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
PCH Champs,2974,11,red,2,Lane,1,0,0,1,0,0,FALSE,FALSE,TRUE,0,0,3,4,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,zoom good cones and cubes,2023-04-06 18:28:27
PCH Champs,1746,12,blue,2,Lane,0,0,1,0,0,0,FALSE,FALSE,TRUE,0,0,0,3,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,Fumbled 3 cones and missed at the substation several times,2023-04-06 18:36:12
PCH Champs,3344,12,blue,1,Center,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,Played defense well but uncareful,2023-04-06 18:36:32
PCH Champs,1771,12,blue,3,Bump,0,0,1,1,0,0,TRUE,FALSE,TRUE,3,1,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,,2023-04-06 18:35:44
PCH Champs,1102,12,red,1,Lane,1,1,0,0,0,0,FALSE,FALSE,TRUE,2,0,0,3,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,,2023-04-06 18:36:01
PCH Champs,1414,12,red,2,Center,0,0,0,1,0,0,TRUE,FALSE,TRUE,0,0,0,2,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,very smooth very zippy easy to defend has hard time loading slow loading at endgame 1758 kept them from balancing,2023-04-06 18:36:54
PCH Champs,8736,13,blue,2,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,3,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,,2023-04-06 18:49:53
PCH Champs,4112,13,blue,1,Bump,0,0,0,1,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,,2023-04-06 18:49:34
PCH Champs,3489,13,blue,3,Center,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,1,0,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,,2023-04-06 18:50:05
PCH Champs,5293,13,red,2,Center,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,2,3,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,,2023-04-06 18:49:46
PCH Champs,8137,13,red,3,Lane,0,0,0,0,0,0,FALSE,FALSE,TRUE,0,0,1,0,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,,2023-04-06 18:49:39
PCH Champs,3635,14,blue,2,Lane,0,1,1,0,0,0,FALSE,FALSE,TRUE,0,1,0,0,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,1,FALSE,FALSE,,2023-04-07 9:04:29
PCH Champs,343,14,blue,1,Center,0,0,0,0,0,0,TRUE,FALSE,TRUE,0,0,2,0,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,,2023-04-07 9:04:18
PCH Champs,9260,14,blue,3,Bump,0,0,0,0,0,0,FALSE,FALSE,TRUE,1,0,0,4,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,average team can be defended by bumping into it,2023-04-07 9:04:42
PCH Champs,1261,14,red,2,Center,0,1,0,1,0,0,TRUE,FALSE,FALSE,2,0,0,2,0,2,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Good performance qnd team work,2023-04-07 9:04:29
PCH Champs,6919,14,red,1,Lane,0,0,1,0,0,0,FALSE,FALSE,TRUE,1,0,1,2,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,Very good at hybrids and cones,2023-04-07 9:04:27
PCH Champs,1311,15,blue,2,Bump,0,0,1,0,0,0,FALSE,FALSE,TRUE,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:12:02
PCH Champs,8865,15,blue,1,Lane,1,0,0,0,0,0,FALSE,FALSE,TRUE,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,null,2023-04-07 9:12:06
PCH Champs,4701,15,blue,3,Center,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,,2023-04-07 9:12:03
PCH Champs,2815,15,red,2,Center,0,0,1,0,0,0,TRUE,FALSE,TRUE,0,0,3,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,FALSE,FALSE,Not scoring high or middle not accurate but good team work,2023-04-07 9:13:23
PCH Champs,4533,15,red,1,Bump,1,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,2,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,Buddy climb broke,2023-04-07 9:12:17
PCH Champs,832,15,red,3,Lane,0,0,0,1,0,0,FALSE,FALSE,TRUE,1,0,0,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,null,2023-04-07 9:12:01
