event,team_number,match_number,team_alliance,team_position,field_position,auto_high_cubes,auto_mid_cubes,auto_hybrid_cubes,auto_high_cones,auto_mid_cones,auto_hybrid_cones,auto_balance,auto_dock,auto_mobility,teleop_high_cubes,teleop_mid_cubes,teleop_hybrid_cubes,teleop_high_cones,teleop_mid_cones,teleop_hybrid_cones,teleop_shuttle,teleop_defend,end_balance,end_dock,end_park,end_num_on_station,no_show,broke_down,summary_notes,timestamp
Hartsville,1287,4,blue,3,Lane,0,0,0,0,0,2,FALSE,FALSE,TRUE,2,0,0,2,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,FALSE,arm moved very slowly. took a long time to score pieces and not too accurate,2023-03-24 17:00:37
Hartsville,1287,9,blue,3,Bump,0,0,0,0,0,2,null,null,TRUE,2,2,0,2,0,0,null,TRUE,TRUE,null,null,2,null,null,inaccurate cone placement,2023-03-24 16:51:02
Hartsville,1287,13,blue,3,Bump,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,2,null,null,TRUE,null,null,2,null,null,Used both cones and cubes.,2023-03-24 16:42:38
Hartsville,1287,17,red,2,Lane,0,0,0,0,0,2,null,null,TRUE,2,0,2,2,0,0,null,null,null,TRUE,FALSE,0,null,null,Can balance didnt balance this match team mate lost it Problem with cones,2023-03-24 16:51:35
Hartsville,1287,22,blue,3,Lane,0,0,0,2,0,0,null,null,TRUE,0,2,0,4,0,0,null,null,TRUE,null,null,2,null,null,Moves smoothly and picks up well but mainly drops cones down,2023-03-24 16:42:23
Hartsville,1287,27,blue,2,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,2,null,null,null,null,null,0,null,null,Nothing worth note,2023-03-24 16:34:24
Hartsville,1287,30,red,1,Lane,0,0,0,2,0,0,null,null,TRUE,2,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 17:16:43
Hartsville,1287,33,red,1,Lane,0,0,0,2,0,0,null,null,TRUE,0,0,2,0,0,2,FALSE,null,FALSE,null,TRUE,2,null,null,1287. is fast but it’s large and inaccurate when placing. They missed multiple high comes and cubes.,2023-03-24 17:00:44
Hartsville,1293,5,blue,1,Lane,0,0,0,0,0,0,null,null,null,0,0,2,0,0,0,null,null,TRUE,null,null,2,null,TRUE,After a collision with their partner (342) the robot was knocked out of commission,2023-03-24 17:08:36
Hartsville,1293,8,red,2,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,2,0,0,0,null,null,null,TRUE,null,2,null,null,null,2023-03-24 17:17:28
Hartsville,1293,11,red,3,Bump,0,0,2,0,0,0,null,null,null,0,0,3,0,0,0,null,null,TRUE,null,null,2,null,null,picked up cubes from sub station. human player is not reliable and consistantly misses the chute and the robot,2023-03-24 17:08:58
Hartsville,1293,21,blue,1,Lane,0,0,0,0,0,0,null,null,TRUE,0,0,4,0,0,0,TRUE,null,null,null,TRUE,2,null,null,Fast across entire field. Can only place in hybrid nodes,2023-03-24 17:01:41
Hartsville,1293,26,red,1,Lane,0,0,2,0,0,0,null,null,TRUE,0,0,2,0,0,0,null,null,TRUE,null,null,3,null,null,null,2023-03-24 16:51:30
Hartsville,1293,29,blue,3,Bump,0,0,2,0,0,0,null,null,TRUE,0,0,3,0,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 16:42:37
Hartsville,1293,35,red,2,Center,0,0,0,0,0,0,null,null,TRUE,0,0,4,0,0,0,null,null,TRUE,null,null,3,null,null,null,2023-03-24 16:34:23
Hartsville,1293,41,red,2,Bump,0,0,2,0,0,0,null,null,TRUE,0,0,3,0,0,0,TRUE,null,TRUE,null,null,2,null,null,null,2023-03-24 17:17:37
Hartsville,1293,44,blue,3,Bump,0,0,2,0,0,0,null,null,TRUE,0,0,6,0,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 17:08:47
Hartsville,1319,1,blue,1,Lane,0,0,0,0,2,0,FALSE,FALSE,TRUE,2,2,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,robot was slow due to being top-heavy. did not fall due but toppled when tried to increase speed,2023-03-24 16:52:19
Hartsville,1319,6,red,3,Center,0,2,0,0,0,0,null,TRUE,null,2,0,0,0,0,2,null,null,TRUE,null,null,2,null,null,null,2023-03-24 16:43:30
Hartsville,1319,10,red,2,Center,0,2,0,0,0,0,FALSE,TRUE,null,2,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,null,2023-03-24 16:34:02
Hartsville,1319,18,blue,3,Center,0,0,0,0,0,0,TRUE,null,TRUE,0,0,0,2,0,0,null,null,TRUE,null,null,2,null,null,Robot only used arm once for high cone.,2023-03-24 17:16:38
Hartsville,1319,22,red,2,Center,0,0,0,0,0,0,TRUE,null,null,0,0,0,0,0,0,null,null,null,TRUE,null,2,null,TRUE,Broke their grabber and just drove around the whole match,2023-03-24 17:08:48
Hartsville,1319,26,blue,1,Center,0,0,0,0,0,0,TRUE,FALSE,null,2,0,0,2,0,0,TRUE,null,FALSE,TRUE,null,2,null,null,null,2023-03-24 17:00:37
